종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"344820","KCC글라스","KOSPI","비금속","24950","-400","-1.58","398464274400"
"009070","KCTC","KOSPI","운송·창고","4020","-90","-2.19","120600000000"
"009440","KC그린홀딩스","KOSPI","기타금융","756","0","0.00","17568790596"
"119650","KC코트렐","KOSPI","기계·장비","918","0","0.00","100782913662"
"092220","KEC","KOSPI","전기·전자","2710","-120","-4.24","108813621880"
"003620","KG모빌리티","KOSPI","운송장비·부품","2600","-70","-2.62","526174771200"
"016380","KG스틸","KOSPI","금속","5440","-80","-1.45","544048399680"
"001390","KG케미칼","KOSPI","화학","4420","-70","-1.56","293504071120"
"001940","KISCO홀딩스","KOSPI","금속","27250","-600","-2.15","386306355000"
"025000","KPX케미칼","KOSPI","화학","54700","-400","-0.73","239515382300"
"092230","KPX홀딩스","KOSPI","화학","98900","-3100","-3.04","417817489400"
"000040","KR모터스","KOSPI","운송장비·부품","1430","-29","-1.99","24703301480"
"044450","KSS해운","KOSPI","운송·창고","9920","-40","-0.40","223969048000"
"030200","KT","KOSPI","통신","53800","-200","-0.37","13558766653000"
"033780","KT&G","KOSPI","음식료·담배","174400","-500","-0.29","18104543526400"
"058850","KTcs","KOSPI","IT 서비스","2175","-35","-1.58","90054678750"
"058860","KTis","KOSPI","IT 서비스","2580","0","0.00","89789160000"
"093050","LF","KOSPI","섬유·의류","23100","-100","-0.43","675444000000"
"003550","LG","KOSPI","기타금융","118500","-1800","-1.50","17916252474000"
"034220","LG디스플레이","KOSPI","전기·전자","9010","-270","-2.91","4505000000000"
"051900","LG생활건강","KOSPI","화학","297000","-9000","-2.94","4447730331000"
"051905","LG생활건강우","KOSPI","화학","106200","-2800","-2.57","222622705800"
"064400","LG씨엔에스","KOSPI","IT 서비스","74500","-1300","-1.72","7218003126000"
"373220","LG에너지솔루션","KOSPI","전기·전자","347500","-19500","-5.31","81315000000000"
"003555","LG우","KOSPI","기타금융","70400","-1700","-2.36","211988409600"
"032640","LG유플러스","KOSPI","통신","14890","-330","-2.17","6319728929480"
"011070","LG이노텍","KOSPI","전기·전자","567000","-23000","-3.90","13419249669000"
"066570","LG전자","KOSPI","전기·전자","200500","-6000","-2.91","32658369919000"
"066575","LG전자우","KOSPI","전기·전자","74300","-700","-0.93","1276570515700"
"037560","LG헬로비전","KOSPI","오락·문화","1630","-18","-1.09","126238389950"
"051910","LG화학","KOSPI","화학","269000","-13000","-4.61","18989340267000"
"051915","LG화학우","KOSPI","화학","122900","-8200","-6.25","944953520000"
"079550","LIG디펜스앤에어로스페이스","KOSPI","금속","655000","-30000","-4.38","14410000000000"
"006260","LS","KOSPI","기타금융","296500","-13500","-4.35","9250800000000"
"010120","LS ELECTRIC","KOSPI","전기·전자","195700","-8800","-4.30","29355000000000"
"000680","LS네트웍스","KOSPI","유통","2995","-45","-1.48","236015032920"
"229640","LS에코에너지","KOSPI","기타금융","44300","-2950","-6.24","1356682139700"
"108320","LX세미콘","KOSPI","전기·전자","36450","-1700","-4.46","592833735000"
"001120","LX인터내셔널","KOSPI","유통","39500","-200","-0.50","1531020000000"
"108670","LX하우시스","KOSPI","화학","33900","-1050","-3.00","304004013000"
"108675","LX하우시스우","KOSPI","화학","18850","-90","-0.48","19459420500"
"383800","LX홀딩스","KOSPI","기타금융","8080","-190","-2.30","616347975200"
"38380K","LX홀딩스1우","KOSPI","기타금융","7360","-370","-4.79","10784497600"
"009810","MDS스피어","KOSPI","유통","1910","-19","-0.98","30081739820"
"023150","MH에탄올","KOSPI","음식료·담배","4085","-70","-1.68","30141278710"
"035420","NAVER","KOSPI","IT 서비스","209000","-6000","-2.79","31783986619000"
"036570","NC","KOSPI","IT 서비스","219000","-5000","-2.23","4718140818000"
"181710","NHN","KOSPI","IT 서비스","68000","-2400","-3.41","2227213452000"
"400760","NH올원리츠","KOSPI","부동산","2835","-35","-1.22","155724494625"
"005940","NH투자증권","KOSPI","증권","26050","-450","-1.70","9617819035250"
"005945","NH투자증권우","KOSPI","증권","23200","-400","-1.69","437806457600"
"338100","NH프라임리츠","KOSPI","부동산","3855","-10","-0.26","71934300000"
"034310","NICE","KOSPI","일반서비스","12600","-650","-4.91","463140178200"
"030190","NICE평가정보","KOSPI","IT 서비스","15950","-130","-0.81","939638855650"
"008260","NI스틸","KOSPI","금속","3420","-160","-4.47","97812400140"
"004250","NPC","KOSPI","화학","3010","-20","-0.66","110527200000"
"004255","NPC우","KOSPI","화학","1884","10","0.53","9947520000"
"456040","OCI","KOSPI","화학","78400","-2300","-2.85","701875608000"
"010060","OCI홀딩스","KOSPI","기타금융","241000","-22500","-8.54","4499525912000"
"178920","PI첨단소재","KOSPI","화학","18930","-890","-4.49","555904475460"
"001340","PKC","KOSPI","화학","4990","-200","-3.85","224690164110"
"005490","POSCO홀딩스","KOSPI","금속","330000","-11000","-3.23","26149703910000"
"010950","S-Oil","KOSPI","화학","150900","-800","-0.53","16988743312800"
"010955","S-Oil우","KOSPI","화학","69800","-100","-0.14","280730504600"
"034120","SBS","KOSPI","오락·문화","12180","-160","-1.30","225954078840"
"003080","SB성보","KOSPI","화학","2235","0","0.00","44744700000"
"005090","SGC에너지","KOSPI","전기·가스","54400","2400","4.62","783867715200"
"001380","SG글로벌","KOSPI","운송장비·부품","1314","-1","-0.08","29541441294"
"004060","SG세계물산","KOSPI","유통","2280","35","1.56","46152890880"
"001770","SHD","KOSPI","금속","14750","790","5.66","17919450500"
"002360","SH에너지화학","KOSPI","화학","1612","-30","-1.83","17914757276"
"009160","SIMPAC","KOSPI","금속","5100","-20","-0.39","333391936800"
"033530","SJG세종","KOSPI","운송장비·부품","6830","-200","-2.84","184767202170"
"123700","SJM","KOSPI","운송장비·부품","3400","10","0.29","53056653200"
"025530","SJM홀딩스","KOSPI","유통","3640","20","0.55","54359789120"
"034730","SK","KOSPI","기타금융","545000","-41000","-7.00","39513973135000"
"011790","SKC","KOSPI","화학","83600","-5100","-5.75","4146417712800"
"018670","SK가스","KOSPI","유통","230000","-5000","-2.13","2131926120000"
"001740","SK네트웍스","KOSPI","유통","6240","-400","-6.02","1251705867360"
"006120","SK디스커버리","KOSPI","기타금융","54900","2000","3.78","956014929900"
"006125","SK디스커버리우","KOSPI","기타금융","41500","400","0.97","51115757500"
"210980","SK디앤디","KOSPI","부동산","4220","570","15.62","78565352040"
"395400","SK리츠","KOSPI","부동산","5460","70","1.30","1643556205200"
"302440","SK바이오사이언스","KOSPI","제약","37450","-900","-2.35","2938197909850"
"326030","SK바이오팜","KOSPI","일반서비스","86300","-2700","-3.03","6758433475000"
"402340","SK스퀘어","KOSPI","기타금융","982000","-85000","-7.97","129549366036000"
"361610","SK아이이테크놀로지","KOSPI","전기·전자","15850","-290","-1.80","1296325535000"
"100090","SK오션플랜트","KOSPI","금속","12000","-450","-3.61","749737548000"
"03473K","SK우","KOSPI","기타금융","398000","-17000","-4.10","225321730000"
"096770","SK이노베이션","KOSPI","화학","131500","-3800","-2.81","22230441622000"
"096775","SK이노베이션우","KOSPI","화학","66600","-1000","-1.48","83145171600"
"475150","SK이터닉스","KOSPI","건설","50900","-900","-1.74","1734010503600"
"001510","SK증권","KOSPI","증권","2430","-105","-4.14","562047056550"
"001515","SK증권우","KOSPI","증권","4300","-35","-0.81","8411905100"
"285130","SK케미칼","KOSPI","화학","52200","-1900","-3.51","902995585200"
"28513K","SK케미칼우","KOSPI","화학","23850","0","0.00","50452981650"
"017670","SK텔레콤","KOSPI","통신","91400","-3200","-3.38","19631810844200"
"000660","SK하이닉스","KOSPI","전기·전자","1613000","-80000","-4.73","1178284184745000"
"003570","SNT다이내믹스","KOSPI","운송장비·부품","28150","-750","-2.60","936063420550"
"064960","SNT모티브","KOSPI","운송장비·부품","25700","-900","-3.38","682084990400"
"100840","SNT에너지","KOSPI","기계·장비","31350","-1450","-4.42","648342547050"
"036530","SNT홀딩스","KOSPI","기타금융","45400","-350","-0.77","740196424400"
"000390","SP삼화","KOSPI","화학","6510","-90","-1.36","177094583190"
"011810","STX","KOSPI","유통","3530","0","0.00","109493282310"
"465770","STX그린로지스","KOSPI","운송·창고","3925","905","29.97","28332141500"
"077970","STX엔진","KOSPI","기계·장비","23200","-1650","-6.64","931435061600"
"002820","SUN&L","KOSPI","화학","1697","-36","-2.08","20471257188"
"002170","SYTS","KOSPI","섬유·의류","55000","-2900","-5.01","165000000000"
"084870","TBH글로벌","KOSPI","섬유·의류","2285","5","0.22","46747114960"
"002710","TCC스틸","KOSPI","금속","10850","-720","-6.22","284418612450"
"069260","TKG휴켐스","KOSPI","화학","16160","-260","-1.58","660597982080"
"007980","TP","KOSPI","섬유·의류","1739","0","0.00","81554491650"
"002900","TYM","KOSPI","기계·장비","6920","0","0.00","286488000000"
"024070","WISCOM","KOSPI","화학","1958","-8","-0.41","30009165604"
"037270","YG PLUS","KOSPI","IT 서비스","3120","-95","-2.95","198628903200"
"139130","iM금융지주","KOSPI","기타금융","18860","-100","-0.53","2986733874880"
"000500","가온전선","KOSPI","전기·전자","201000","-7500","-3.60","5985299007000"
"000860","강남제비스코","KOSPI","화학","12600","0","0.00","163800000000"
"035250","강원랜드","KOSPI","오락·문화","14600","-150","-1.02","3123531300000"
"011420","갤럭시아에스엠","KOSPI","오락·문화","1475","-35","-2.32","40635724900"
"002100","경농","KOSPI","화학","9220","-20","-0.22","179998141500"
"009450","경동나비엔","KOSPI","전기·전자","60300","-1500","-2.43","878486097600"
"267290","경동도시가스","KOSPI","전기·가스","21850","-50","-0.23","128814621100"
"012320","경동인베스트","KOSPI","기타금융","46500","-1300","-2.72","109973569500"
"000050","경방","KOSPI","유통","8200","-150","-1.80","224805214000"
"214390","경보제약","KOSPI","제약","5580","60","1.09","133400278800"
"012610","경인양행","KOSPI","화학","3165","-55","-1.71","131715795225"
"009140","경인전자","KOSPI","전기·전자","22450","-200","-0.88","35264392650"
"013580","계룡건설","KOSPI","건설","21250","-50","-0.23","189781773750"
"012200","계양전기","KOSPI","기계·장비","3535","-85","-2.35","96232700515"
"012205","계양전기우","KOSPI","기계·장비","5300","-210","-3.81","6196118700"
"002140","고려산업","KOSPI","음식료·담배","2070","-75","-3.50","51624609750"
"010130","고려아연","KOSPI","금속","1216000","-35000","-2.80","25381530304000"
"002240","고려제강","KOSPI","금속","17470","-150","-0.85","471690000000"
"009290","광동제약","KOSPI","제약","6290","-140","-2.18","313240792320"
"017040","광명전기","KOSPI","전기·전자","932","0","0.00","40390657180"
"017900","광전자","KOSPI","전기·전자","7170","-140","-1.92","415456780710"
"037710","광주신세계","KOSPI","유통","35700","-1300","-3.51","272290040400"
"030610","교보증권","KOSPI","증권","10000","-330","-3.19","1139629610000"
"339770","교촌에프앤비","KOSPI","유통","3840","-5","-0.13","191865907200"
"007690","국도화학","KOSPI","화학","39800","-150","-0.38","368581113600"
"002720","국제약품","KOSPI","제약","3415","-20","-0.58","72260826280"
"083420","그린케미칼","KOSPI","화학","4840","-70","-1.43","116160000000"
"014530","극동유화","KOSPI","화학","3230","0","0.00","112628226600"
"014280","금강공업","KOSPI","금속","4290","0","0.00","125822941530"
"014285","금강공업우","KOSPI","금속","5670","-40","-0.70","3344591250"
"008870","금비","KOSPI","비금속","40400","750","1.89","40400000000"
"001570","금양","KOSPI","화학","9900","0","0.00","633275240400"
"002990","금호건설","KOSPI","건설","17100","600","3.64","637145555400"
"002995","금호건설우","KOSPI","건설","21050","0","0.00","6152199300"
"011780","금호석유화학","KOSPI","화학","127200","-2900","-2.23","3200011740000"
"011785","금호석유화학우","KOSPI","화학","51100","-400","-0.78","154500134600"
"214330","금호에이치티","KOSPI","운송장비·부품","6030","-230","-3.67","63055281870"
"001210","금호전기","KOSPI","전기·전자","13300","230","1.76","164601012800"
"073240","금호타이어","KOSPI","화학","7130","-320","-4.30","2048165846310"
"092440","기신정기","KOSPI","기계·장비","2005","5","0.25","58546000000"
"000270","기아","KOSPI","운송장비·부품","124400","-6800","-5.18","48567376951200"
"024110","기업은행","KOSPI","은행","20850","-50","-0.24","16626329368650"
"013700","까뮤이앤씨","KOSPI","건설","1730","37","2.19","103368935900"
"004540","깨끗한나라","KOSPI","종이·목재","1210","-29","-2.34","45061238530"
"004545","깨끗한나라우","KOSPI","종이·목재","4490","-55","-1.21","1644058400"
"001260","남광토건","KOSPI","건설","8030","400","5.24","78955553160"
"008350","남선알미늄","KOSPI","금속","1045","-3","-0.29","134887649050"
"008355","남선알미우","KOSPI","금속","7500","-200","-2.60","2309175000"
"004270","남성","KOSPI","유통","4970","20","0.40","22663836160"
"003920","남양유업","KOSPI","음식료·담배","44000","-650","-1.46","249631668000"
"003925","남양유업우","KOSPI","음식료·담배","29550","-300","-1.01","55883452950"
"025860","남해화학","KOSPI","화학","6510","30","0.46","323409267930"
"005720","넥센","KOSPI","화학","6100","-110","-1.77","320518259700"
"005725","넥센우","KOSPI","화학","4340","0","0.00","15626604000"
"002350","넥센타이어","KOSPI","화학","6050","-310","-4.87","590890655850"
"002355","넥센타이어1우B","KOSPI","화학","3915","-5","-0.13","25447500000"
"092790","넥스틸","KOSPI","금속","12680","-100","-0.78","329705360000"
"251270","넷마블","KOSPI","IT 서비스","37000","-1800","-4.64","3076861725000"
"090350","노루페인트","KOSPI","화학","7930","-170","-2.10","158600000000"
"090355","노루페인트우","KOSPI","화학","11870","0","0.00","5497305620"
"000320","노루홀딩스","KOSPI","기타금융","16830","-360","-2.09","223690071330"
"000325","노루홀딩스우","KOSPI","기타금융","27750","-50","-0.18","6758762250"
"006280","녹십자","KOSPI","제약","127000","-1100","-0.86","1484190326000"
"005250","녹십자홀딩스","KOSPI","일반서비스","9850","-120","-1.20","463227868500"
"005257","녹십자홀딩스2우","KOSPI","일반서비스","17680","150","0.86","14957103200"
"004370","농심","KOSPI","음식료·담배","437500","-4000","-0.91","2661155875000"
"072710","농심홀딩스","KOSPI","기타금융","94200","-800","-0.84","436879818000"
"058730","다스코","KOSPI","금속","3940","375","10.52","79789928940"
"030210","다올투자증권","KOSPI","증권","3855","-60","-1.53","234812313630"
"023590","다우기술","KOSPI","IT 서비스","38550","-900","-2.28","1668725877600"
"145210","다이나믹디자인","KOSPI","기계·장비","2240","0","0.00","9461011840"
"483650","달바글로벌","KOSPI","화학","202000","-5500","-2.65","2530234830000"
"019680","대교","KOSPI","일반서비스","1000","0","0.00","80467700000"
"019685","대교우B","KOSPI","일반서비스","598","0","0.00","11617340020"
"006370","대구백화점","KOSPI","유통","3715","-225","-5.71","40202284865"
"008060","대덕","KOSPI","기타금융","15500","-490","-3.06","484950019000"
"00806K","대덕1우","KOSPI","기타금융","10950","-100","-0.90","13275309150"
"353200","대덕전자","KOSPI","전기·전자","108900","-2600","-2.33","5381503132500"
"35320K","대덕전자1우","KOSPI","전기·전자","22700","-650","-2.78","47568281300"
"000490","대동","KOSPI","기계·장비","7950","-300","-3.64","229173576750"
"005750","대림바스","KOSPI","비금속","4665","-85","-1.79","77402799600"
"006570","대림통상","KOSPI","금속","1886","-2","-0.11","28714350000"
"001680","대상","KOSPI","음식료·담배","18570","-170","-0.91","643413824250"
"001685","대상우","KOSPI","음식료·담배","14680","0","0.00","20114873640"
"084690","대상홀딩스","KOSPI","기타금융","7960","-50","-0.62","288251802480"
"084695","대상홀딩스우","KOSPI","기타금융","11960","140","1.18","10925244720"
"128820","대성산업","KOSPI","유통","4060","-60","-1.46","183656040680"
"117580","대성에너지","KOSPI","전기·가스","6850","-50","-0.72","188375000000"
"016710","대성홀딩스","KOSPI","일반서비스","6990","-50","-0.71","112465318410"
"0030R0","대신밸류리츠","KOSPI","기타금융","3930","-70","-1.75","234935400000"
"003540","대신증권","KOSPI","증권","26400","-500","-1.86","1258385726400"
"003547","대신증권2우B","KOSPI","증권","19500","-260","-1.32","187329987000"
"003545","대신증권우","KOSPI","증권","20350","-250","-1.21","496200846900"
"009190","대양금속","KOSPI","금속","1315","-55","-4.01","57841951625"
"014160","대영포장","KOSPI","종이·목재","688","1","0.15","74575449712"
"047040","대우건설","KOSPI","건설","16280","-540","-3.21","6689576346640"
"003090","대웅","KOSPI","제약","17450","-340","-1.91","1014577551000"
"069620","대웅제약","KOSPI","제약","124100","-2700","-2.13","1437893957500"
"000430","대원강업","KOSPI","운송장비·부품","4215","-155","-3.55","261330000000"
"006340","대원전선","KOSPI","전기·전자","12730","-550","-4.14","998215515680"
"006345","대원전선우","KOSPI","전기·전자","9850","60","0.61","25818820000"
"003220","대원제약","KOSPI","제약","8100","130","1.63","181663422300"
"024890","대원화성","KOSPI","화학","1728","-13","-0.75","14255706240"
"012800","대창","KOSPI","금속","1160","-30","-2.52","105722978840"
"015230","대창단조","KOSPI","운송장비·부품","6130","-110","-1.76","166390390600"
"001070","대한방직","KOSPI","섬유·의류","6030","-50","-0.82","31959000000"
"006650","대한유화","KOSPI","화학","92000","-6600","-6.69","598000000000"
"001440","대한전선","KOSPI","전기·전자","27550","-1100","-3.84","5399596019800"
"084010","대한제강","KOSPI","금속","8590","-80","-0.92","295252009640"
"001790","대한제당","KOSPI","음식료·담배","2885","-25","-0.86","248807924775"
"001795","대한제당우","KOSPI","음식료·담배","2170","-35","-1.59","14067589200"
"001130","대한제분","KOSPI","음식료·담배","11780","-40","-0.34","199082000000"
"439260","대한조선","KOSPI","운송장비·부품","44500","-2750","-5.82","1694948485000"
"003490","대한항공","KOSPI","운송·창고","28900","150","0.52","10641577102900"
"003495","대한항공우","KOSPI","운송·창고","21700","-100","-0.46","24104229800"
"005880","대한해운","KOSPI","운송·창고","2010","-50","-2.43","648722153400"
"003830","대한화섬","KOSPI","화학","114000","-2200","-1.89","151392000000"
"016090","대현","KOSPI","섬유·의류","1467","-3","-0.20","64962148770"
"069460","대호에이엘","KOSPI","금속","2660","0","0.00","46322277400"
"475560","더본코리아","KOSPI","유통","15650","-830","-5.04","232057730500"
"192080","더블유게임즈","KOSPI","IT 서비스","57500","-1000","-1.71","1217474410000"
"004830","덕성","KOSPI","화학","3310","-90","-2.65","51900800000"
"004835","덕성우","KOSPI","화학","4220","-5","-0.12","5874240000"
"145720","덴티움","KOSPI","의료·정밀기기","36700","-650","-1.74","316496799700"
"002150","도화엔지니어링","KOSPI","일반서비스","5210","-50","-0.95","175681200000"
"460850","동국씨엠","KOSPI","금속","5240","-80","-1.50","156668957440"
"460860","동국제강","KOSPI","금속","10290","-100","-0.96","510466494930"
"001230","동국홀딩스","KOSPI","기타금융","1987","-38","-1.88","308993829705"
"023450","동남합성","KOSPI","화학","31450","-150","-0.47","110075000000"
"004140","동방","KOSPI","운송·창고","1787","-35","-1.92","85725545842"
"007590","동방아그로","KOSPI","화학","5600","0","0.00","76258431200"
"005960","동부건설","KOSPI","건설","7300","-200","-2.67","167510639900"
"005965","동부건설우","KOSPI","건설","17100","-220","-1.27","3860017200"
"026960","동서","KOSPI","유통","25500","-150","-0.58","2542350000000"
"002210","동성제약","KOSPI","제약","1417","-63","-4.26","136909841419"
"102260","동성케미컬","KOSPI","화학","3700","-75","-1.99","187477486700"
"000640","동아쏘시오홀딩스","KOSPI","기타금융","92700","-500","-0.54","624105252900"
"170900","동아에스티","KOSPI","제약","37100","-650","-1.72","360904385100"
"028100","동아지질","KOSPI","건설","17440","-240","-1.36","195713720480"
"001520","동양","KOSPI","비금속","1047","-46","-4.21","112156767504"
"001527","동양2우B","KOSPI","비금속","6160","-330","-5.08","1267142800"
"084670","동양고속","KOSPI","운송·창고","23700","-1100","-4.44","68624985300"
"001525","동양우","KOSPI","비금속","8670","-280","-3.13","2276872050"
"018500","동원모빌리티","KOSPI","운송장비·부품","1447","-10","-0.69","67654388051"
"006040","동원산업","KOSPI","기타금융","37800","-150","-0.40","1668522958200"
"030720","동원수산","KOSPI","농업, 임업 및 어업","5530","20","0.36","25735541650"
"014820","동원시스템즈","KOSPI","화학","21500","-1450","-6.32","623312563000"
"014825","동원시스템즈우","KOSPI","화학","14230","320","2.30","3758299530"
"111380","동인기연","KOSPI","섬유·의류","13580","-20","-0.15","83218240000"
"163560","동일고무벨트","KOSPI","화학","5600","-110","-1.93","77840000000"
"004890","동일산업","KOSPI","금속","36050","-750","-2.04","87429000750"
"002690","동일제강","KOSPI","금속","1475","2","0.14","29943031000"
"000020","동화약품","KOSPI","제약","5160","-70","-1.34","144126385200"
"000150","두산","KOSPI","전기·전자","1121000","-85000","-7.05","18153289035000"
"000157","두산2우B","KOSPI","전기·전자","327000","-17000","-4.94","292023426000"
"454910","두산로보틱스","KOSPI","기계·장비","66000","-3000","-4.35","4278118680000"
"241560","두산밥캣","KOSPI","기계·장비","60200","-1900","-3.06","5770535113000"
"034020","두산에너빌리티","KOSPI","기계·장비","76600","-4800","-5.90","49066983783600"
"000155","두산우","KOSPI","전기·전자","405000","-22500","-5.26","1618567110000"
"336260","두산퓨얼셀","KOSPI","전기·전자","38700","-5650","-12.74","2534607196200"
"33626K","두산퓨얼셀1우","KOSPI","전기·전자","5900","-30","-0.51","78848780000"
"33626L","두산퓨얼셀2우B","KOSPI","전기·전자","7290","-200","-2.67","21770127000"
"016740","두올","KOSPI","운송장비·부품","3715","10","0.27","106523999160"
"192650","드림텍","KOSPI","전기·전자","6210","330","5.61","409157208090"
"024090","디씨엠","KOSPI","금속","11520","220","1.95","131328000000"
"003160","디아이","KOSPI","의료·정밀기기","30600","3950","14.82","865980000000"
"092200","디아이씨","KOSPI","운송장비·부품","5710","-370","-6.09","222053728990"
